"Name","Live Bytes","Live Objects"
"com.intellij.openapi.util.IconLoader$CachedImageIcon$MyUrlResolver","45,120 B (0%)","1,128 (0%)"
"com.intellij.openapi.extensions.impl.InterfaceExtensionPoint","44,912 B (0%)","802 (0%)"
"com.intellij.ui.scale.UserScaleContext","44,360 B (0%)","1,109 (0%)"
"com.intellij.codeInsight.template.impl.Variable","44,320 B (0%)","1,108 (0%)"
"com.intellij.ide.projectView.PresentationData","44,184 B (0%)","789 (0%)"
"java.awt.AWTEventMulticaster","43,968 B (0%)","1,832 (0%)"
"com.intellij.util.keyFMap.PairElementsFMap","43,840 B (0%)","1,370 (0%)"
"java.io.ObjectStreamClass$ClassDataSlot","43,488 B (0%)","1,812 (0%)"
"com.intellij.openapi.actionSystem.Presentation$$Lambda$557.0x0000000100672440","43,440 B (0%)","2,715 (0.1%)"
"com.intellij.util.containers.ConcurrentIntKeyWeakValueHashMap$MyRef","43,120 B (0%)","1,078 (0%)"
"java.io.ObjectInputStream$FieldValues","42,696 B (0%)","1,779 (0%)"
"com.intellij.codeInspection.ui.InspectionTreeNode$ProblemLevels","42,264 B (0%)","1,761 (0%)"
"java.beans.PropertyChangeListener[]","42,096 B (0%)","1,406 (0%)"
"com.intellij.openapi.vfs.newvfs.impl.VfsData$DirectoryData","42,000 B (0%)","1,750 (0%)"
"com.intellij.openapi.components.ServiceDescriptor","41,360 B (0%)","1,034 (0%)"
"com.intellij.ui.components.ScrollBarPainter$$Lambda$664.0x000000010088b840","40,896 B (0%)","1,704 (0%)"
"java.lang.invoke.LambdaForm","40,752 B (0%)","849 (0%)"
"java.util.Collections$UnmodifiableCollection$1","40,656 B (0%)","1,694 (0%)"
"com.intellij.serviceContainer.ServiceComponentAdapter","40,560 B (0%)","1,014 (0%)"
"com.jediterm.terminal.util.Pair","40,560 B (0%)","1,690 (0%)"
"com.intellij.openapi.module.Module[]","40,216 B (0%)","1,676 (0%)"
"org.jetbrains.plugins.ruby.rails.run.filters.RStackTraceFilter","40,200 B (0%)","1,675 (0%)"
"org.jetbrains.plugins.ruby.ruby.RModuleUtil$$Lambda$1101.0x0000000100e1dc40","40,152 B (0%)","1,673 (0%)"
"com.intellij.execution.filters.CompositeFilter","40,152 B (0%)","1,673 (0%)"
"java.util.stream.ForEachOps$ForEachOp$OfRef","40,152 B (0%)","1,673 (0%)"
"java.util.stream.ReferencePipeline$2$1","40,152 B (0%)","1,673 (0%)"
"java.nio.HeapCharBuffer","39,936 B (0%)","832 (0%)"
"com.intellij.ui.components.JBScrollBar","39,936 B (0%)","104 (0%)"
"sun.security.util.ObjectIdentifier","39,904 B (0%)","1,247 (0%)"
"it.unimi.dsi.fastutil.ints.Int2ObjectRBTreeMap$Entry[]","39,712 B (0%)","146 (0%)"
"com.jediterm.terminal.model.TerminalLine","39,240 B (0%)","1,635 (0%)"
"sun.rmi.transport.Transport$1","39,232 B (0%)","1,226 (0%)"
"sun.rmi.transport.Transport$$Lambda$6271.0x000000010278e040","39,216 B (0%)","2,451 (0.1%)"
"com.intellij.openapi.actionSystem.impl.ProxyShortcutSet","38,768 B (0%)","2,423 (0.1%)"
"java.util.regex.Pattern$BmpCharProperty","38,760 B (0%)","1,615 (0%)"
"java.io.ObjectStreamClass$ClassDataSlot[]","38,736 B (0%)","1,613 (0%)"
"com.intellij.openapi.actionSystem.impl.ActionManagerImpl$$Lambda$559.0x0000000100671c40","38,720 B (0%)","1,210 (0%)"
"com.intellij.openapi.editor.impl.RangeMarkerTree$RMNode","38,720 B (0%)","605 (0%)"
"com.intellij.openapi.editor.markup.AttributesFlyweight","38,640 B (0%)","805 (0%)"
"java.lang.ref.ReferenceQueue$Lock","38,592 B (0%)","2,412 (0.1%)"
"java.io.ObjectInputStream$FieldValues[]","38,232 B (0%)","1,593 (0%)"
